vendor_id, pickup_datetime, dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, rate_code, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount

CMT,2014-10-01 08:55:07,2014-10-01 09:11:03,1,2.2000000000000002,-74.005866999999995,40.737569999999998,1,Y,-74.015534000000002,40.708277000000002,CRD,12,0,0.5,1,0,13.5
CMT,2014-10-01 10:51:17,2014-10-01 11:26:11,1,15.699999999999999,-73.873193000000001,40.774056000000002,1,Y,-73.999846000000005,40.631132000000001,CRD,45.5,0,0.5,9.1999999999999993,0,55.200000000000003
CMT,2014-10-01 02:03:03,2014-10-01 02:06:55,1,1,0,0,1,N,0,0,CRD,5,0.5,0.5,1,0,7
CMT,2014-10-01 00:06:35,2014-10-01 00:17:05,2,2.5,-73.987150999999997,40.732922000000002,1,N,-73.991831000000005,40.758147999999998,CRD,10,0.5,0.5,2.2000000000000002,0,13.199999999999999
CMT,2014-10-01 01:34:13,2014-10-01 01:47:02,1,4.2000000000000002,-73.983266999999998,40.726576999999999,1,N,-73.937556000000001,40.716380000000001,CRD,15,0.5,0.5,3.2000000000000002,0,19.199999999999999
CMT,2014-10-01 01:28:24,2014-10-01 01:50:25,1,6,-74.006640000000004,40.744301999999998,1,N,-74.015866000000003,40.705061000000001,CRD,21.5,0.5,0.5,4.5,0,27
CMT,2014-10-01 00:50:49,2014-10-01 01:01:35,1,4.2999999999999998,-73.983412000000001,40.765830999999999,1,N,-73.955209999999994,40.804502999999997,CRD,14,0.5,0.5,3,0,18
CMT,2014-10-01 01:44:33,2014-10-01 01:50:22,1,0.90000000000000002,-74.007599999999996,40.740855000000003,1,N,-73.993703999999994,40.737439999999999,CRD,6,0.5,0.5,1.3999999999999999,0,8.4000000000000004
CMT,2014-10-01 00:55:41,2014-10-01 01:04:25,1,2,-73.983827000000005,40.725743999999999,1,N,-73.986211999999995,40.743608999999999,CRD,8.5,0.5,0.5,1,0,10.5
CMT,2014-10-01 01:44:12,2014-10-01 01:48:27,1,0.90000000000000002,-74.006071000000006,40.743844000000003,1,N,-73.994752000000005,40.746405000000003,CRD,5.5,0.5,0.5,1.95,0,8.4499999999999993
CMT,2014-10-01 00:07:44,2014-10-01 00:21:43,4,5.7999999999999998,-73.988560000000007,40.722656000000001,1,N,-73.917265,40.740802000000002,CRD,18,0.5,0.5,3,0,22
CMT,2014-10-01 02:32:01,2014-10-01 02:36:07,1,0.80000000000000004,-73.991839999999996,40.716258000000003,1,N,-73.995101000000005,40.725183000000001,CRD,5.5,0.5,0.5,1,0,7.5
CMT,2014-10-01 03:50:57,2014-10-01 04:05:08,1,5.0999999999999996,-73.995800000000003,40.724656000000003,1,N,-73.952015000000003,40.787120000000002,CRD,16,0.5,0.5,3.3999999999999999,0,20.399999999999999
CMT,2014-10-01 02:51:07,2014-10-01 02:58:38,1,2.5,-73.980492999999996,40.764597000000002,1,N,-74.005475000000004,40.738064999999999,CRD,9.5,0.5,0.5,2.1000000000000001,0,12.6
CMT,2014-10-01 02:17:12,2014-10-01 02:29:27,1,2.8999999999999999,-73.980653000000004,40.761198,1,N,-73.951958000000005,40.773071999999999,CRD,11.5,0.5,0.5,2.5,0,15
CMT,2014-10-01 02:23:25,2014-10-01 02:26:41,1,0.59999999999999998,-73.973044000000002,40.760852999999997,1,N,-73.965496000000002,40.763148000000001,CRD,4.5,0.5,0.5,0.5,0,6
CMT,2014-10-01 00:16:18,2014-10-01 00:28:21,1,3.2999999999999998,-73.989681000000004,40.7605,1,N,-73.948943999999997,40.776623999999998,CRD,12,0.5,0.5,2.6000000000000001,0,15.6
CMT,2014-10-01 00:19:33,2014-10-01 00:38:36,1,4.7999999999999998,-73.985287,40.748047999999997,1,N,-74.013649000000001,40.709364999999998,CRD,17,0.5,0.5,3.6000000000000001,0,21.600000000000001
CMT,2014-10-01 01:15:04,2014-10-01 01:30:41,1,6,-73.990537000000003,40.755842000000001,1,N,-73.941817,40.716189999999997,CRD,19,0.5,0.5,6.3300000000000001,5.3300000000000001,31.66
CMT,2014-10-01 00:24:54,2014-10-01 00:49:09,2,9.6999999999999993,-73.996016999999995,40.744199999999999,1,N,-73.85087,40.711460000000002,CRD,30,0.5,0.5,7.2599999999999998,5.3300000000000001,43.590000000000003
CMT,2014-10-01 00:36:50,2014-10-01 00:59:26,1,6.0999999999999996,-74.005699000000007,40.750878999999998,1,N,-73.958015000000003,40.687573999999998,CRD,22,0.5,0.5,5.75,0,28.75
CMT,2014-10-01 00:36:20,2014-10-01 00:45:26,1,3.5,-73.985091999999995,40.727969999999999,1,N,-73.956984000000006,40.772466999999999,CRD,11.5,0.5,0.5,3.1200000000000001,0,15.619999999999999
CMT,2014-10-01 00:06:21,2014-10-01 00:27:25,1,4.5999999999999996,-73.989619000000005,40.726112999999998,1,N,-73.962295999999995,40.676250000000003,CRD,17.5,0.5,0.5,4.6200000000000001,0,23.120000000000001
CMT,2014-10-01 02:58:16,2014-10-01 03:00:38,1,0.59999999999999998,-73.974790999999996,40.759296999999997,1,N,-73.976631999999995,40.764870999999999,CRD,4,0.5,0.5,1.25,0,6.25
CMT,2014-10-01 02:12:16,2014-10-01 02:16:25,1,0.69999999999999996,-73.986844000000005,40.741230000000002,1,N,-73.978572,40.746023000000001,CRD,5,0.5,0.5,1.2,0,7.2000000000000002
CMT,2014-10-01 01:35:19,2014-10-01 01:51:40,1,4.7000000000000002,-74.005433999999994,40.727328,1,N,-73.955173000000002,40.678314,CRD,16.5,0.5,0.5,4.3700000000000001,0,21.870000000000001
CMT,2014-10-01 17:15:43,2014-10-01 17:29:23,1,2.5,-74.004547000000002,40.741798000000003,1,N,-73.984458000000004,40.768822,CRD,11,1,0.5,3.1000000000000001,0,15.6
CMT,2014-10-01 01:48:02,2014-10-01 01:49:48,1,0.59999999999999998,-73.994795999999994,40.728048999999999,1,N,-74.002222000000003,40.725318000000001,CRD,4,0.5,0.5,1,0,6
CMT,2014-10-01 00:35:31,2014-10-01 00:39:13,1,0.90000000000000002,-74.002983999999998,40.733336000000001,1,N,-74.004444000000007,40.721640999999998,CRD,5.5,0.5,0.5,1.6000000000000001,0,8.0999999999999996
CMT,2014-10-01 00:11:29,2014-10-01 00:42:25,1,18.399999999999999,-73.790077999999994,40.644119000000003,1,N,-73.966037,40.712378999999999,CRD,49.5,0.5,0.5,2,0,52.5
CMT,2014-10-01 00:33:21,2014-10-01 00:44:28,1,2.7000000000000002,-73.973309999999998,40.763964999999999,1,N,-73.988192999999995,40.732097000000003,CRD,11,0.5,0.5,1.2,0,13.199999999999999
CMT,2014-10-01 03:14:07,2014-10-01 03:32:29,2,9.8000000000000007,-73.957682000000005,40.717711000000001,1,N,-74.008236999999994,40.627068000000001,CRD,29,0.5,0.5,6,0,36
CMT,2014-10-01 00:13:51,2014-10-01 00:29:44,1,3.7999999999999998,-73.996869000000004,40.725665999999997,1,N,-73.980487999999994,40.676606,CRD,14.5,0.5,0.5,3.8700000000000001,0,19.370000000000001
CMT,2014-10-01 00:22:07,2014-10-01 00:28:36,1,1.3999999999999999,-74.002970000000005,40.739145999999998,1,N,-73.986673999999994,40.746079999999999,CRD,7,0.5,0.5,1.75,0,9.75
CMT,2014-10-01 02:42:42,2014-10-01 02:52:22,1,2.5,-73.983097999999998,40.763038999999999,1,N,-73.990142000000006,40.734465,CRD,10,0.5,0.5,5,0,16
CMT,2014-10-01 03:21:18,2014-10-01 03:26:16,1,1.8,-73.973343,40.759940999999998,1,N,-73.957025000000002,40.778433,CRD,7,0.5,0.5,1.5,0,9.5
CMT,2014-10-01 02:12:34,2014-10-01 02:30:49,4,4,-73.957684999999998,40.714398000000003,1,Y,-73.953001,40.673605999999999,CRD,16,0.5,0.5,5.0999999999999996,0,22.100000000000001
CMT,2014-10-01 00:11:05,2014-10-01 00:18:48,1,2.3999999999999999,-73.977502999999999,40.763576,1,N,-73.948859999999996,40.777555,CRD,9,0.5,0.5,3,0,13
CMT,2014-10-01 01:56:49,2014-10-01 02:00:39,1,0.59999999999999998,-74.006238999999994,40.733172000000003,1,N,-74.001756999999998,40.72775,CRD,4.5,0.5,0.5,1.1000000000000001,0,6.5999999999999996
CMT,2014-10-01 01:14:08,2014-10-01 01:21:41,1,1.3,-73.979308000000003,40.752862999999998,1,N,-73.972944999999996,40.74342,CRD,7.5,0.5,0.5,1.7,0,10.199999999999999
CMT,2014-10-01 00:44:35,2014-10-01 00:52:19,1,2.7000000000000002,-74.002420000000001,40.729353000000003,1,N,-73.994389999999996,40.760086999999999,CRD,9.5,0.5,0.5,2.6000000000000001,0,13.1
CMT,2014-10-01 00:34:03,2014-10-01 00:41:49,1,2.2999999999999998,-73.987223999999998,40.756183999999998,1,N,-73.979633000000007,40.733344000000002,CRD,8.5,0.5,0.5,2.3500000000000001,0,11.85
CMT,2014-10-01 00:29:20,2014-10-01 00:40:38,1,1.8999999999999999,-74.007718999999994,40.740623999999997,1,N,-73.991343999999998,40.727536999999998,CRD,9,0.5,0.5,2,0,12
CMT,2014-10-01 00:08:47,2014-10-01 00:17:40,1,1.7,-74.004728999999998,40.722847999999999,1,N,-74.005525000000006,40.739913999999999,CRD,8.5,0.5,0.5,1,0,10.5
CMT,2014-10-01 04:40:17,2014-10-01 04:54:43,1,5.4000000000000004,-73.981789000000006,40.768503000000003,1,N,-73.905816000000002,40.726030999999999,CRD,17.5,0.5,0.5,2,0,20.5
CMT,2014-10-01 17:45:58,2014-10-01 17:59:34,1,3,-73.982862999999995,40.747818000000002,1,N,-73.983608000000004,40.718122000000001,CRD,12.5,0,0.5,1,0,14
CMT,2014-10-01 00:39:37,2014-10-01 00:56:27,1,8.4000000000000004,-73.992649999999998,40.73039,1,N,-73.940481000000005,40.819533,CRD,24.5,0.5,0.5,5.0999999999999996,0,30.600000000000001
CMT,2014-10-01 00:29:02,2014-10-01 00:39:39,1,3.2999999999999998,-74.005171000000004,40.720058000000002,1,N,-73.995114000000001,40.760226000000003,CRD,12,0.5,0.5,2.6000000000000001,0,15.6
CMT,2014-10-01 00:16:51,2014-10-01 00:26:44,1,2.2999999999999998,-74.004587999999998,40.730682000000002,1,N,-73.989429000000001,40.758111,CRD,9.5,0.5,0.5,2.1000000000000001,0,12.6
CMT,2014-10-01 00:16:47,2014-10-01 00:23:22,1,1.3999999999999999,-73.973500999999999,40.760558000000003,1,N,-73.990782999999993,40.755229999999997,CRD,7,0.5,0.5,1.6000000000000001,0,9.5999999999999996
CMT,2014-10-01 02:03:32,2014-10-01 02:14:09,1,2.7999999999999998,-73.963560999999999,40.772289999999998,1,N,-73.997434999999996,40.756433999999999,CRD,11.5,0.5,0.5,1.8,0,14.300000000000001
CMT,2014-10-01 10:33:36,2014-10-01 10:39:41,1,0.59999999999999998,-73.994129999999998,40.761696999999998,1,N,-73.988422,40.769454000000003,CRD,5.5,0,0.5,1.2,0,7.2000000000000002
CMT,2014-10-01 01:40:45,2014-10-01 01:46:45,1,1.1000000000000001,-73.986609000000001,40.720795000000003,1,N,-73.987657999999996,40.732474000000003,CRD,6.5,0.5,0.5,1,0,8.5
