VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-11-01 00:00:00,2015-11-01 00:26:00,1,2.90,-73.983993530273437,40.729499816894531,1,N,-73.984550476074219,40.759170532226563,2,17.5,0.5,0.5,0,0,0.3,18.8
1,2015-11-01 00:00:00,2015-11-01 00:08:24,1,.80,-73.9840087890625,40.765289306640625,1,N,-73.990432739257813,40.759326934814453,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2015-11-01 00:00:00,2015-11-01 00:12:17,1,.74,-74.002616882324219,40.734058380126953,1,N,-74.004364013671875,40.7406005859375,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2015-11-01 00:00:00,2015-11-01 00:25:08,1,2.89,-73.987312316894531,40.718711853027344,1,N,-73.9915771484375,40.749118804931641,1,16.5,0.5,0.5,0,0,0.3,17.8
2,2015-11-01 00:00:00,2015-11-01 00:19:44,1,5.07,-73.949928283691406,40.772190093994141,1,N,-73.988121032714844,40.722919464111328,2,18,0.5,0.5,0,0,0.3,19.3
2,2015-11-01 00:00:00,2015-11-01 00:26:30,1,5.21,-73.948051452636719,40.778541564941406,1,N,-73.983207702636719,40.726520538330078,2,22,0.5,0.5,0,0,0.3,23.3
2,2015-11-01 00:00:00,2015-11-01 00:00:00,1,14.83,-73.957572937011719,40.774200439453125,1,N,-73.939620971679687,40.751338958740234,1,46,0.5,0.5,7.93,5.54,0.3,60.77
1,2015-11-01 00:00:01,2015-11-01 00:18:47,1,1.50,-73.989532470703125,40.762493133544922,1,N,-74.003860473632813,40.742885589599609,1,12.5,0.5,0.5,0,0,0.3,13.8
1,2015-11-01 00:00:01,2015-11-01 00:42:36,2,5.90,-73.981918334960938,40.743419647216797,1,N,-73.97198486328125,40.683635711669922,1,28.5,0.5,0.5,4,0,0.3,33.8
1,2015-11-01 00:00:01,2015-11-01 00:30:24,1,5.40,-73.987655639648438,40.738323211669922,1,N,-73.919380187988281,40.749172210693359,1,22,0.5,0.5,3,0,0.3,26.3
1,2015-11-01 00:00:01,2015-11-01 00:12:34,1,2.80,-73.921028137207031,40.756534576416016,1,N,-73.883819580078125,40.748153686523438,3,12,0.5,0.5,0,0,0.3,13.3
1,2015-11-01 00:00:01,2015-11-01 00:14:50,1,1.20,-73.984764099121094,40.732761383056641,1,N,-73.998031616210938,40.723506927490234,1,10,0.5,0.5,2.26,0,0.3,13.56
1,2015-11-01 00:00:01,2015-11-01 00:09:30,1,1.10,-73.984619140625,40.757633209228516,1,N,-73.977821350097656,40.759788513183594,2,8,0.5,0.5,0,0,0.3,9.3
1,2015-11-01 00:00:01,2015-11-01 00:12:05,1,1.60,-73.981216430664063,40.758964538574219,1,N,-73.98309326171875,40.743770599365234,1,9.5,0.5,0.5,2,0,0.3,12.8
2,2015-11-01 00:00:01,2015-11-01 00:09:13,2,2.60,-73.981605529785156,40.750480651855469,1,N,-73.95562744140625,40.776515960693359,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2015-11-01 00:00:01,2015-11-01 00:23:17,2,7.88,-73.931251525878906,40.703960418701172,1,N,-74.007362365722656,40.651649475097656,1,26,0.5,0.5,5.46,0,0.3,32.76
2,2015-11-01 00:00:01,2015-11-01 00:11:33,1,2.47,-73.986671447753906,40.755599975585938,1,N,-73.971946716308594,40.7864990234375,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2015-11-01 00:00:01,2015-11-01 00:09:43,4,2.18,-73.987709045410156,40.740871429443359,1,N,-73.963081359863281,40.75823974609375,2,9.5,0.5,0.5,0,0,0.3,10.8
2,2015-11-01 00:00:01,2015-11-01 00:03:14,1,.57,-73.961250305175781,40.763778686523438,1,N,-73.968063354492187,40.755260467529297,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2015-11-01 00:00:01,2015-11-01 00:07:36,1,1.49,-73.982292175292969,40.778587341308594,1,N,-73.996131896972656,40.767364501953125,1,7.5,0.5,0.5,1,0,0.3,9.8
2,2015-11-01 00:00:01,2015-11-01 00:12:22,1,5.88,-73.981689453125,40.779499053955078,1,N,-73.93829345703125,40.847358703613281,1,18.5,0.5,0.5,2,0,0.3,21.8
1,2015-11-01 00:00:02,2015-11-01 00:35:11,3,2.80,-74.013236999511719,40.705276489257813,1,N,-73.994071960449219,40.732315063476563,2,21.5,0.5,0.5,0,0,0.3,22.8
1,2015-11-01 00:00:02,2015-11-01 00:11:26,1,1.00,-73.98724365234375,40.720474243164062,1,N,-73.997795104980469,40.729282379150391,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2015-11-01 00:00:02,2015-11-01 00:15:11,1,1.02,-73.989158630371094,40.718959808349609,1,N,-73.989639282226563,40.729892730712891,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2015-11-01 00:00:02,2015-11-01 00:17:34,1,4.00,-73.953193664550781,40.668247222900391,1,N,-73.953659057617188,40.718990325927734,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,2015-11-01 00:00:02,2015-11-01 00:07:03,1,1.51,-73.980461120605469,40.782436370849609,1,N,-73.966194152832031,40.799629211425781,1,7.5,0.5,0.5,0,0,0.3,8.8
1,2015-11-01 00:00:03,2015-11-01 00:27:13,1,1.20,-73.998291015625,40.729671478271484,1,N,-73.989555358886719,40.719467163085937,1,16,0.5,0.5,0,0,0.3,17.3
1,2015-11-01 00:00:03,2015-11-01 00:08:22,3,.80,-73.995826721191406,40.723125457763672,1,N,-73.983108520507812,40.722434997558594,1,7,0.5,0.5,2.05,0,0.3,10.35
1,2015-11-01 00:00:03,2015-11-01 00:13:16,1,1.20,-73.979476928710937,40.743682861328125,1,N,-73.98736572265625,40.732776641845703,1,9.5,0.5,0.5,2.15,0,0.3,12.95
1,2015-11-01 00:00:03,2015-11-01 00:41:07,1,2.30,-74.004615783691406,40.722118377685547,1,N,-73.982063293457031,40.740150451660156,1,24,0.5,0.5,0,0,0.3,25.3
2,2015-11-01 00:00:03,2015-11-01 00:04:40,2,.97,-73.955650329589844,40.782180786132812,1,N,-73.953315734863281,40.772579193115234,1,6,0.5,0.5,1,0,0.3,8.3
2,2015-11-01 00:00:03,2015-11-01 00:30:13,1,5.82,-73.982856750488281,40.751201629638672,1,N,-73.888481140136719,40.755168914794922,1,23,0.5,0.5,4.86,0,0.3,29.16
2,2015-11-01 00:00:03,2015-11-01 00:20:27,3,3.35,-73.968002319335938,40.679916381835938,1,N,-73.956451416015625,40.713333129882813,2,15,0.5,0.5,0,0,0.3,16.3
