VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-06-09 21:06:36,2016-06-09 21:13:08,2,.79,-73.983360290527344,40.760936737060547,1,N,-73.977462768554688,40.753978729248047,2,6,0.5,0.5,0,0,0.3,7.3
2,2016-06-09 21:06:36,2016-06-09 21:35:11,1,5.22,-73.981719970703125,40.736667633056641,1,N,-73.981636047363281,40.670242309570313,1,22,0.5,0.5,4,0,0.3,27.3
2,2016-06-09 21:06:36,2016-06-09 21:13:10,1,1.26,-73.994316101074219,40.751071929931641,1,N,-74.004234313964844,40.742168426513672,1,6.5,0.5,0.5,1.56,0,0.3,9.36
2,2016-06-09 21:06:36,2016-06-09 21:36:10,1,7.39,-73.98236083984375,40.773891448974609,1,N,-73.929466247558594,40.851539611816406,1,26,0.5,0.5,1,0,0.3,28.3
2,2016-06-09 21:06:36,2016-06-09 21:23:23,1,3.10,-73.987106323242187,40.733173370361328,1,N,-73.985908508300781,40.766445159912109,1,13.5,0.5,0.5,2.96,0,0.3,17.76
2,2016-06-09 21:06:36,2016-06-09 21:19:21,1,2.17,-73.995201110839844,40.739490509033203,1,N,-73.993202209472656,40.762641906738281,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2016-06-09 21:06:36,2016-06-09 21:30:13,5,6.02,-73.980476379394531,40.741680145263672,1,N,-73.902961730957031,40.748741149902344,2,21.5,0.5,0.5,0,0,0.3,22.8
1,2016-06-09 21:06:37,2016-06-09 21:16:47,1,1.40,-73.985702514648437,40.746742248535156,1,N,-73.982505798339844,40.762771606445313,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2016-06-09 21:06:37,2016-06-09 21:15:44,1,1.20,-73.984275817871094,40.775009155273438,1,N,-73.968498229980469,40.766429901123047,2,8,0.5,0.5,0,0,0.3,9.3
1,2016-06-09 21:06:37,2016-06-09 21:23:57,2,1.90,-73.977920532226563,40.750091552734375,1,N,-73.987236022949219,40.749359130859375,1,12,0.5,0.5,3.33,0,0.3,16.63
1,2016-06-09 21:06:37,2016-06-09 21:10:51,1,.70,-73.991203308105469,40.739662170410156,1,N,-73.982940673828125,40.745071411132812,1,5,0.5,0.5,1.55,0,0.3,7.85
2,2016-06-09 21:06:37,2016-06-09 21:27:12,5,3.12,-73.967498779296875,40.763149261474609,1,N,-73.992439270019531,40.724838256835938,1,15,0.5,0.5,3.26,0,0.3,19.56
2,2016-06-09 21:06:37,2016-06-09 21:08:27,2,.44,-73.976333618164062,40.785850524902344,1,N,-73.971733093261719,40.791969299316406,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2016-06-09 21:06:37,2016-06-09 21:17:33,1,2.09,-73.993583679199219,40.724590301513672,1,N,-74.008049011230469,40.740341186523438,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2016-06-09 21:06:37,2016-06-09 21:17:35,1,1.86,-73.977958679199219,40.748809814453125,1,N,-74.000762939453125,40.738880157470703,1,9,0.5,0.5,2,0,0.3,12.3
1,2016-06-09 21:06:38,2016-06-09 21:27:14,1,3.70,-73.994224548339844,40.751262664794922,1,N,-73.952278137207031,40.776340484619141,1,16,0.5,0.5,3.45,0,0.3,20.75
1,2016-06-09 21:06:38,2016-06-09 21:12:04,2,1.10,-73.988029479980469,40.74383544921875,1,N,-73.99017333984375,40.731773376464844,1,6,0.5,0.5,1.45,0,0.3,8.75
2,2016-06-09 21:06:38,2016-06-09 21:22:25,2,2.62,-73.953605651855469,40.785308837890625,1,N,-73.982017517089844,40.76312255859375,1,13,0.5,0.5,2.86,0,0.3,17.16
2,2016-06-09 21:06:38,2016-06-09 21:15:34,1,2.24,-73.964302062988281,40.764518737792969,1,N,-73.972648620605469,40.785999298095703,1,9,0.5,0.5,1,0,0.3,11.3
2,2016-06-09 21:06:38,2016-06-09 21:21:14,1,2.99,-73.980964660644531,40.759933471679688,1,N,-73.96392822265625,40.79534912109375,2,12.5,0.5,0.5,0,0,0.3,13.8
2,2016-06-09 21:06:38,2016-06-09 21:10:53,1,.70,-74.016120910644531,40.710899353027344,1,N,-74.009788513183594,40.715808868408203,1,5,0.5,0.5,2,0,0.3,8.3
1,2016-06-09 21:06:39,2016-06-09 21:15:09,2,1.70,-74.005104064941406,40.737518310546875,1,N,-73.997787475585937,40.756744384765625,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2016-06-09 21:06:39,2016-06-09 21:11:44,1,.70,-73.994537353515625,40.740623474121094,1,N,-74.00006103515625,40.747566223144531,1,5.5,0.5,0.5,1.35,0,0.3,8.15
2,2016-06-09 21:06:39,2016-06-09 21:21:09,1,2.60,-73.991905212402344,40.750026702880859,1,N,-73.977439880371094,40.724266052246094,1,11.5,0.5,0.5,3.2,0,0.3,16
2,2016-06-09 21:06:39,2016-06-09 21:18:47,5,2.55,-73.982589721679688,40.777408599853516,1,N,-73.966583251953125,40.807933807373047,1,10.5,0.5,0.5,2.5,0,0.3,14.3
2,2016-06-09 21:06:39,2016-06-09 21:19:52,2,7.65,-73.873023986816406,40.774089813232422,1,N,-73.951507568359375,40.786075592041016,1,22.5,0.5,0.5,5.87,5.54,0.3,35.21
1,2016-06-09 21:06:40,2016-06-09 21:10:40,1,.60,-73.955551147460937,40.778842926025391,1,N,-73.963516235351563,40.775234222412109,1,4.5,0.5,0.5,1.5,0,0.3,7.3
1,2016-06-09 21:06:40,2016-06-09 21:14:45,1,1.10,-73.968147277832031,40.765419006347656,1,N,-73.966751098632813,40.753738403320313,2,7,0.5,0.5,0,0,0.3,8.3
