vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt

VTS,2009-04-08 12:19:00,2009-04-08 12:24:00,1,0.48999999999999999,-73.974467000000004,40.760793,,,-73.966769999999997,40.757057000000003,CASH,4.0999999999999996,0,,0,0,4.0999999999999996
VTS,2009-04-08 15:20:00,2009-04-08 15:28:00,1,1.05,-73.978527999999997,40.753472000000002,,,-73.981245000000001,40.76549,Credit,6.0999999999999996,0,,0.90000000000000002,0,7
VTS,2009-04-06 21:31:00,2009-04-06 21:35:00,1,1.1399999999999999,-73.995800000000003,40.738933000000003,,,-74.002082999999999,40.747672000000001,Credit,5.2999999999999998,0.5,,1.5,0,7.2999999999999998
VTS,2009-04-06 19:02:00,2009-04-06 19:41:00,1,19.780000000000001,-73.863343,40.769942,,,-74.040087,40.619439999999997,Credit,43.700000000000003,1,,8.9399999999999995,0,53.640000000000001
VTS,2009-04-08 09:37:00,2009-04-08 09:51:00,1,5.2800000000000002,-73.992262999999994,40.715288000000001,,,-73.962441999999996,40.767997000000001,CASH,14.5,0,,0,0,14.5
VTS,2009-04-06 23:26:00,2009-04-06 23:41:00,5,3.3300000000000001,-73.982922000000002,40.757682000000003,,,-73.977716999999998,40.721342,CASH,11.300000000000001,0.5,,0,0,11.800000000000001
VTS,2009-04-08 16:14:00,2009-04-08 16:37:00,1,3.6800000000000002,-73.949174999999997,40.773432,,,-73.990696999999997,40.751466999999998,CASH,14.5,1,,0,0,15.5
VTS,2009-04-08 09:33:00,2009-04-08 09:35:00,1,0.39000000000000001,-73.906378000000004,40.773167999999998,,,-73.911742000000004,40.775435000000002,CASH,3.2999999999999998,0,,0,0,3.2999999999999998
VTS,2009-04-23 19:13:00,2009-04-23 19:29:00,2,2.3100000000000001,-73.973487000000006,40.756455000000003,,,-73.998773,40.737333,CASH,10.1,1,,0,0,11.1
VTS,2009-04-08 17:29:00,2009-04-08 17:44:00,2,2.5099999999999998,-73.983812999999998,40.737589999999997,,,-73.961794999999995,40.767485000000001,Credit,10.1,1,,2,0,13.1
VTS,2009-04-08 18:27:00,2009-04-08 18:33:00,2,0.33000000000000002,-73.987892000000002,40.770136999999998,,,-73.986801999999997,40.766447999999997,CASH,4.9000000000000004,1,,0,0,5.9000000000000004
VTS,2009-04-21 22:55:00,2009-04-21 22:59:00,5,1.29,-73.962585000000004,40.767052999999997,,,-73.950194999999994,40.779957000000003,Credit,4.9000000000000004,0.5,,2,0,7.4000000000000004
VTS,2009-04-24 19:23:00,2009-04-24 19:33:00,1,1.6699999999999999,-73.99776,40.736376999999997,,,-73.980356999999998,40.751376999999998,CASH,7.2999999999999998,1,,0,0,8.3000000000000007
VTS,2009-04-06 17:26:00,2009-04-06 17:40:00,1,4.0700000000000003,-73.990399999999994,40.757595000000002,,,-73.960232000000005,40.806516999999999,Credit,11.699999999999999,1,,1,0,13.699999999999999
VTS,2009-04-22 18:58:00,2009-04-22 19:13:00,1,4.5300000000000002,-74.010667999999995,40.709293000000002,,,-73.998397999999995,40.754219999999997,Credit,13.300000000000001,1,,2,0,16.300000000000001
VTS,2009-04-08 15:26:00,2009-04-08 15:40:00,1,0.47999999999999998,-73.953789999999998,40.779071999999999,,,-73.959057000000001,40.783287999999999,CASH,8.0999999999999996,0,,0,0,8.0999999999999996
VTS,2009-04-08 10:32:00,2009-04-08 10:38:00,1,1.1000000000000001,-73.999094999999997,40.744486999999999,,,-73.983862999999999,40.746465000000001,CASH,5.2999999999999998,0,,0,0,5.2999999999999998
VTS,2009-04-24 16:01:00,2009-04-24 16:15:00,1,1.49,-73.992022000000006,40.716203,,,-74.009922000000003,40.720101999999997,Credit,8.5,1,,2,0,11.5
VTS,2009-04-21 22:40:00,2009-04-21 22:46:00,5,1.3700000000000001,-73.994560000000007,40.750708000000003,,,-74.005897000000004,40.743008000000003,CASH,5.7000000000000002,0.5,,0,0,6.2000000000000002
