VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-09-01 00:56:15,2017-09-01 00:56:18,N,1,193,193,1,.00,2.5,0.5,0.5,0,0,,0.3,3.8,2,1
2,2017-09-01 00:40:55,2017-09-01 00:49:22,N,1,80,17,1,1.74,8,0.5,0.5,2.79,0,,0.3,12.09,1,1
2,2017-09-01 00:17:11,2017-09-01 00:20:40,N,1,256,255,1,.93,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-09-01 00:46:31,2017-09-01 01:04:31,N,1,145,61,1,5.85,19,0.5,0.5,5.08,0,,0.3,25.38,1,1
2,2017-09-01 00:02:04,2017-09-01 00:07:03,N,1,37,225,1,1.15,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-09-01 00:35:21,2017-09-01 01:12:25,N,1,255,89,1,8.46,29.5,0.5,0.5,0,0,,0.3,30.8,2,1
2,2017-09-01 00:27:54,2017-09-01 00:37:25,N,1,256,79,2,2.66,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
1,2017-09-01 00:33:51,2017-09-01 00:41:35,N,1,7,260,5,1.80,8,0.5,0.5,0,0,,0.3,9.3,2,1
1,2017-09-01 00:46:54,2017-09-01 00:58:07,N,1,260,179,1,3.50,12.5,0.5,0.5,2.75,0,,0.3,16.55,1,1
2,2017-09-01 00:24:18,2017-09-01 00:45:31,N,1,33,89,1,4.82,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1
1,2017-09-01 00:36:29,2017-09-01 00:48:34,N,1,179,226,1,3.00,11.5,0.5,0.5,1.2,0,,0.3,14,1,1
1,2017-09-01 00:39:45,2017-09-01 00:50:55,N,1,145,255,1,2.80,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,2017-09-01 00:41:43,2017-09-01 00:46:12,N,1,7,226,1,1.03,5.5,0.5,0.5,1.7,0,,0.3,8.5,1,1
2,2017-09-01 00:52:11,2017-09-01 00:57:53,N,1,260,7,1,1.43,7,0.5,0.5,0,0,,0.3,8.3,2,1
